main_location,geometry
EAST   59 STREET,"POLYGON ((-73.9604030981981992 40.7597358000000014, -73.9604117743663636 40.7595591925399461, -73.9604377193145979 40.7593842859062789, -73.9604806831788579 40.7592127645454880, -73.9605402521936810 40.7590462803020444, -73.9606158526768525 40.7588864365102239, -73.9607067565544156 40.7587347725531188, -73.9608120883723217 40.7585927490375468, -73.9609308337276019 40.7584617337275930, -73.9610618490375487 40.7583429883723198, -73.9612038725531278 40.7582376565544138, -73.9613555365102258 40.7581467526768506, -73.9615153803020462 40.7580711521936720, -73.9616818645454970 40.7580115831788632, -73.9618533859062808 40.7579686193145889, -73.9620282925399550 40.7579426743663547, -73.9622049000000032 40.7579339981981974, -73.9623815074600515 40.7579426743663547, -73.9625564140937257 40.7579686193145889, -73.9627279354545095 40.7580115831788632, -73.9628944196979603 40.7580711521936720, -73.9630542634897807 40.7581467526768506, -73.9632059274468787 40.7582376565544138, -73.9633479509624578 40.7583429883723198, -73.9634789662724046 40.7584617337275930, -73.9635977116276848 40.7585927490375468, -73.9637030434455909 40.7587347725531188, -73.9637939473231540 40.7588864365102239, -73.9638695478063255 40.7590462803020444, -73.9639291168211486 40.7592127645454880, -73.9639720806854086 40.7593842859062789, -73.9639980256336429 40.7595591925399461, -73.9640067018018073 40.7597358000000014, -73.9639980256336429 40.7599124074600567, -73.9639720806854086 40.7600873140937239, -73.9639291168211486 40.7602588354545148, -73.9638695478063255 40.7604253196979585, -73.9637939473231540 40.7605851634897789, -73.9637030434455909 40.7607368274468840, -73.9635977116276848 40.7608788509624560, -73.9634789662724046 40.7610098662724099, -73.9633479509624578 40.7611286116276830, -73.9632059274468787 40.7612339434455890, -73.9630542634897807 40.7613248473231522, -73.9628944196979603 40.7614004478063308, -73.9627279354545095 40.7614600168211396, -73.9625564140937257 40.7615029806854139, -73.9623815074600515 40.7615289256336482, -73.9622049000000032 40.7615376018018054, -73.9620282925399550 40.7615289256336482, -73.9618533859062808 40.7615029806854139, -73.9616818645454970 40.7614600168211396, -73.9615153803020462 40.7614004478063308, -73.9613555365102258 40.7613248473231522, -73.9612038725531278 40.7612339434455890, -73.9610618490375487 40.7611286116276830, -73.9609308337276019 40.7610098662724099, -73.9608120883723217 40.7608788509624560, -73.9607067565544156 40.7607368274468840, -73.9606158526768525 40.7605851634897789, -73.9605402521936810 40.7604253196979585, -73.9604806831788579 40.7602588354545148, -73.9604377193145979 40.7600873140937239, -73.9604117743663636 40.7599124074600567, -73.9604030981981992 40.7597358000000014))"
LUDLOW STREET,"POLYGON ((-73.9893758981981904 40.7145835000000034, -73.9893845743663547 40.7144068925399480, -73.9894105193145890 40.7142319859062809, -73.9894534831788491 40.7140604645454900, -73.9895130521936721 40.7138939803020463, -73.9895886526768436 40.7137341365102259, -73.9896795565544068 40.7135824725531208, -73.9897848883723128 40.7134404490375488, -73.9899036337275930 40.7133094337275949, -73.9900346490375398 40.7131906883723218, -73.9901766725531189 40.7130853565544157, -73.9903283365102169 40.7129944526768526, -73.9904881803020373 40.7129188521936740, -73.9906546645454881 40.7128592831788652, -73.9908261859062719 40.7128163193145909, -73.9910010925399462 40.7127903743663566, -73.9911776999999944 40.7127816981981994, -73.9913543074600426 40.7127903743663566, -73.9915292140937169 40.7128163193145909, -73.9917007354545007 40.7128592831788652, -73.9918672196979514 40.7129188521936740, -73.9920270634897719 40.7129944526768526, -73.9921787274468699 40.7130853565544157, -73.9923207509624490 40.7131906883723218, -73.9924517662723957 40.7133094337275949, -73.9925705116276760 40.7134404490375488, -73.9926758434455820 40.7135824725531208, -73.9927667473231452 40.7137341365102259, -73.9928423478063166 40.7138939803020463, -73.9929019168211397 40.7140604645454900, -73.9929448806853998 40.7142319859062809, -73.9929708256336340 40.7144068925399480, -73.9929795018017984 40.7145835000000034, -73.9929708256336340 40.7147601074600587, -73.9929448806853998 40.7149350140937258, -73.9929019168211397 40.7151065354545167, -73.9928423478063166 40.7152730196979604, -73.9927667473231452 40.7154328634897809, -73.9926758434455820 40.7155845274468859, -73.9925705116276760 40.7157265509624580, -73.9924517662723957 40.7158575662724118, -73.9923207509624490 40.7159763116276849, -73.9921787274468699 40.7160816434455910, -73.9920270634897719 40.7161725473231542, -73.9918672196979514 40.7162481478063327, -73.9917007354545007 40.7163077168211416, -73.9915292140937169 40.7163506806854159, -73.9913543074600426 40.7163766256336501, -73.9911776999999944 40.7163853018018074, -73.9910010925399462 40.7163766256336501, -73.9908261859062719 40.7163506806854159, -73.9906546645454881 40.7163077168211416, -73.9904881803020373 40.7162481478063327, -73.9903283365102169 40.7161725473231542, -73.9901766725531189 40.7160816434455910, -73.9900346490375398 40.7159763116276849, -73.9899036337275930 40.7158575662724118, -73.9897848883723128 40.7157265509624580, -73.9896795565544068 40.7155845274468859, -73.9895886526768436 40.7154328634897809, -73.9895130521936721 40.7152730196979604, -73.9894534831788491 40.7151065354545167, -73.9894105193145890 40.7149350140937258, -73.9893845743663547 40.7147601074600587, -73.9893758981981904 40.7145835000000034))"
WEST   14 STREET,"POLYGON ((-73.9807772981981913 40.7313566999999992, -73.9807859743663556 40.7311800925399439, -73.9808119193145899 40.7310051859062767, -73.9808548831788499 40.7308336645454858, -73.9809144521936730 40.7306671803020421, -73.9809900526768445 40.7305073365102217, -73.9810809565544076 40.7303556725531166, -73.9811862883723137 40.7302136490375446, -73.9813050337275939 40.7300826337275907, -73.9814360490375407 40.7299638883723176, -73.9815780725531198 40.7298585565544116, -73.9817297365102178 40.7297676526768484, -73.9818895803020382 40.7296920521936698, -73.9820560645454890 40.7296324831788610, -73.9822275859062728 40.7295895193145867, -73.9824024925399470 40.7295635743663524, -73.9825790999999953 40.7295548981981952, -73.9827557074600435 40.7295635743663524, -73.9829306140937177 40.7295895193145867, -73.9831021354545015 40.7296324831788610, -73.9832686196979523 40.7296920521936698, -73.9834284634897728 40.7297676526768484, -73.9835801274468707 40.7298585565544116, -73.9837221509624499 40.7299638883723176, -73.9838531662723966 40.7300826337275907, -73.9839719116276768 40.7302136490375446, -73.9840772434455829 40.7303556725531166, -73.9841681473231461 40.7305073365102217, -73.9842437478063175 40.7306671803020421, -73.9843033168211406 40.7308336645454858, -73.9843462806854006 40.7310051859062767, -73.9843722256336349 40.7311800925399439, -73.9843809018017993 40.7313566999999992, -73.9843722256336349 40.7315333074600545, -73.9843462806854006 40.7317082140937217, -73.9843033168211406 40.7318797354545126, -73.9842437478063175 40.7320462196979562, -73.9841681473231461 40.7322060634897767, -73.9840772434455829 40.7323577274468818, -73.9839719116276768 40.7324997509624538, -73.9838531662723966 40.7326307662724076, -73.9837221509624499 40.7327495116276808, -73.9835801274468707 40.7328548434455868, -73.9834284634897728 40.7329457473231500, -73.9832686196979523 40.7330213478063285, -73.9831021354545015 40.7330809168211374, -73.9829306140937177 40.7331238806854117, -73.9827557074600435 40.7331498256336459, -73.9825790999999953 40.7331585018018032, -73.9824024925399470 40.7331498256336459, -73.9822275859062728 40.7331238806854117, -73.9820560645454890 40.7330809168211374, -73.9818895803020382 40.7330213478063285, -73.9817297365102178 40.7329457473231500, -73.9815780725531198 40.7328548434455868, -73.9814360490375407 40.7327495116276808, -73.9813050337275939 40.7326307662724076, -73.9811862883723137 40.7324997509624538, -73.9810809565544076 40.7323577274468818, -73.9809900526768445 40.7322060634897767, -73.9809144521936730 40.7320462196979562, -73.9808548831788499 40.7318797354545126, -73.9808119193145899 40.7317082140937217, -73.9807859743663556 40.7315333074600545, -73.9807772981981913 40.7313566999999992))"
FIFTH AVENUE,"POLYGON ((-73.9435667981981908 40.8021613000000016, -73.9435754743663551 40.8019846925399463, -73.9436014193145894 40.8018097859062792, -73.9436443831788495 40.8016382645454883, -73.9437039521936725 40.8014717803020446, -73.9437795526768440 40.8013119365102241, -73.9438704565544072 40.8011602725531191, -73.9439757883723132 40.8010182490375470, -73.9440945337275934 40.8008872337275932, -73.9442255490375402 40.8007684883723201, -73.9443675725531193 40.8006631565544140, -73.9445192365102173 40.8005722526768508, -73.9446790803020377 40.8004966521936723, -73.9448455645454885 40.8004370831788634, -73.9450170859062723 40.8003941193145891, -73.9451919925399466 40.8003681743663549, -73.9453685999999948 40.8003594981981976, -73.9455452074600430 40.8003681743663549, -73.9457201140937173 40.8003941193145891, -73.9458916354545011 40.8004370831788634, -73.9460581196979518 40.8004966521936723, -73.9462179634897723 40.8005722526768508, -73.9463696274468703 40.8006631565544140, -73.9465116509624494 40.8007684883723201, -73.9466426662723961 40.8008872337275932, -73.9467614116276764 40.8010182490375470, -73.9468667434455824 40.8011602725531191, -73.9469576473231456 40.8013119365102241, -73.9470332478063170 40.8014717803020446, -73.9470928168211401 40.8016382645454883, -73.9471357806854002 40.8018097859062792, -73.9471617256336344 40.8019846925399463, -73.9471704018017988 40.8021613000000016, -73.9471617256336344 40.8023379074600570, -73.9471357806854002 40.8025128140937241, -73.9470928168211401 40.8026843354545150, -73.9470332478063170 40.8028508196979587, -73.9469576473231456 40.8030106634897791, -73.9468667434455824 40.8031623274468842, -73.9467614116276764 40.8033043509624562, -73.9466426662723961 40.8034353662724101, -73.9465116509624494 40.8035541116276832, -73.9463696274468703 40.8036594434455893, -73.9462179634897723 40.8037503473231524, -73.9460581196979518 40.8038259478063310, -73.9458916354545011 40.8038855168211398, -73.9457201140937173 40.8039284806854141, -73.9455452074600430 40.8039544256336484, -73.9453685999999948 40.8039631018018056, -73.9451919925399466 40.8039544256336484, -73.9450170859062723 40.8039284806854141, -73.9448455645454885 40.8038855168211398, -73.9446790803020377 40.8038259478063310, -73.9445192365102173 40.8037503473231524, -73.9443675725531193 40.8036594434455893, -73.9442255490375402 40.8035541116276832, -73.9440945337275934 40.8034353662724101, -73.9439757883723132 40.8033043509624562, -73.9438704565544072 40.8031623274468842, -73.9437795526768440 40.8030106634897791, -73.9437039521936725 40.8028508196979587, -73.9436443831788495 40.8026843354545150, -73.9436014193145894 40.8025128140937241, -73.9435754743663551 40.8023379074600570, -73.9435667981981908 40.8021613000000016))"
EAST   90 STREET,"POLYGON ((-73.9516117981982006 40.7819259999999986, -73.9516204743663650 40.7817493925399432, -73.9516464193145993 40.7815744859062761, -73.9516893831788593 40.7814029645454852, -73.9517489521936824 40.7812364803020415, -73.9518245526768538 40.7810766365102211, -73.9519154565544170 40.7809249725531160, -73.9520207883723231 40.7807829490375440, -73.9521395337276033 40.7806519337275901, -73.9522705490375500 40.7805331883723170, -73.9524125725531292 40.7804278565544109, -73.9525642365102271 40.7803369526768478, -73.9527240803020476 40.7802613521936692, -73.9528905645454984 40.7802017831788604, -73.9530620859062822 40.7801588193145861, -73.9532369925399564 40.7801328743663518, -73.9534136000000046 40.7801241981981946, -73.9535902074600529 40.7801328743663518, -73.9537651140937271 40.7801588193145861, -73.9539366354545109 40.7802017831788604, -73.9541031196979617 40.7802613521936692, -73.9542629634897821 40.7803369526768478, -73.9544146274468801 40.7804278565544109, -73.9545566509624592 40.7805331883723170, -73.9546876662724060 40.7806519337275901, -73.9548064116276862 40.7807829490375440, -73.9549117434455923 40.7809249725531160, -73.9550026473231554 40.7810766365102211, -73.9550782478063269 40.7812364803020415, -73.9551378168211500 40.7814029645454852, -73.9551807806854100 40.7815744859062761, -73.9552067256336443 40.7817493925399432, -73.9552154018018086 40.7819259999999986, -73.9552067256336443 40.7821026074600539, -73.9551807806854100 40.7822775140937210, -73.9551378168211500 40.7824490354545119, -73.9550782478063269 40.7826155196979556, -73.9550026473231554 40.7827753634897761, -73.9549117434455923 40.7829270274468811, -73.9548064116276862 40.7830690509624532, -73.9546876662724060 40.7832000662724070, -73.9545566509624592 40.7833188116276801, -73.9544146274468801 40.7834241434455862, -73.9542629634897821 40.7835150473231494, -73.9541031196979617 40.7835906478063279, -73.9539366354545109 40.7836502168211368, -73.9537651140937271 40.7836931806854111, -73.9535902074600529 40.7837191256336453, -73.9534136000000046 40.7837278018018026, -73.9532369925399564 40.7837191256336453, -73.9530620859062822 40.7836931806854111, -73.9528905645454984 40.7836502168211368, -73.9527240803020476 40.7835906478063279, -73.9525642365102271 40.7835150473231494, -73.9524125725531292 40.7834241434455862, -73.9522705490375500 40.7833188116276801, -73.9521395337276033 40.7832000662724070, -73.9520207883723231 40.7830690509624532, -73.9519154565544170 40.7829270274468811, -73.9518245526768538 40.7827753634897761, -73.9517489521936824 40.7826155196979556, -73.9516893831788593 40.7824490354545119, -73.9516464193145993 40.7822775140937210, -73.9516204743663650 40.7821026074600539, -73.9516117981982006 40.7819259999999986))"
EAST   69 STREET,"POLYGON ((-73.9611235981981991 40.7681960999999973, -73.9611322743663635 40.7680194925399420, -73.9611582193145978 40.7678445859062748, -73.9612011831788578 40.7676730645454839, -73.9612607521936809 40.7675065803020402, -73.9613363526768524 40.7673467365102198, -73.9614272565544155 40.7671950725531147, -73.9615325883723216 40.7670530490375427, -73.9616513337276018 40.7669220337275888, -73.9617823490375486 40.7668032883723157, -73.9619243725531277 40.7666979565544096, -73.9620760365102257 40.7666070526768465, -73.9622358803020461 40.7665314521936679, -73.9624023645454969 40.7664718831788591, -73.9625738859062807 40.7664289193145848, -73.9627487925399549 40.7664029743663505, -73.9629254000000032 40.7663942981981933, -73.9631020074600514 40.7664029743663505, -73.9632769140937256 40.7664289193145848, -73.9634484354545094 40.7664718831788591, -73.9636149196979602 40.7665314521936679, -73.9637747634897806 40.7666070526768465, -73.9639264274468786 40.7666979565544096, -73.9640684509624577 40.7668032883723157, -73.9641994662724045 40.7669220337275888, -73.9643182116276847 40.7670530490375427, -73.9644235434455908 40.7671950725531147, -73.9645144473231539 40.7673467365102198, -73.9645900478063254 40.7675065803020402, -73.9646496168211485 40.7676730645454839, -73.9646925806854085 40.7678445859062748, -73.9647185256336428 40.7680194925399420, -73.9647272018018072 40.7681960999999973, -73.9647185256336428 40.7683727074600526, -73.9646925806854085 40.7685476140937197, -73.9646496168211485 40.7687191354545106, -73.9645900478063254 40.7688856196979543, -73.9645144473231539 40.7690454634897748, -73.9644235434455908 40.7691971274468798, -73.9643182116276847 40.7693391509624519, -73.9641994662724045 40.7694701662724057, -73.9640684509624577 40.7695889116276788, -73.9639264274468786 40.7696942434455849, -73.9637747634897806 40.7697851473231481, -73.9636149196979602 40.7698607478063266, -73.9634484354545094 40.7699203168211355, -73.9632769140937256 40.7699632806854098, -73.9631020074600514 40.7699892256336440, -73.9629254000000032 40.7699979018018013, -73.9627487925399549 40.7699892256336440, -73.9625738859062807 40.7699632806854098, -73.9624023645454969 40.7699203168211355, -73.9622358803020461 40.7698607478063266, -73.9620760365102257 40.7697851473231481, -73.9619243725531277 40.7696942434455849, -73.9617823490375486 40.7695889116276788, -73.9616513337276018 40.7694701662724057, -73.9615325883723216 40.7693391509624519, -73.9614272565544155 40.7691971274468798, -73.9613363526768524 40.7690454634897748, -73.9612607521936809 40.7688856196979543, -73.9612011831788578 40.7687191354545106, -73.9611582193145978 40.7685476140937197, -73.9611322743663635 40.7683727074600526, -73.9611235981981991 40.7681960999999973))"
EAST   63 STREET,"POLYGON ((-73.9593144981981965 40.7625309000000016, -73.9593231743663608 40.7623542925399462, -73.9593491193145951 40.7621793859062791, -73.9593920831788552 40.7620078645454882, -73.9594516521936782 40.7618413803020445, -73.9595272526768497 40.7616815365102241, -73.9596181565544128 40.7615298725531190, -73.9597234883723189 40.7613878490375470, -73.9598422337275991 40.7612568337275931, -73.9599732490375459 40.7611380883723200, -73.9601152725531250 40.7610327565544139, -73.9602669365102230 40.7609418526768508, -73.9604267803020434 40.7608662521936722, -73.9605932645454942 40.7608066831788634, -73.9607647859062780 40.7607637193145891, -73.9609396925399523 40.7607377743663548, -73.9611163000000005 40.7607290981981976, -73.9612929074600487 40.7607377743663548, -73.9614678140937230 40.7607637193145891, -73.9616393354545067 40.7608066831788634, -73.9618058196979575 40.7608662521936722, -73.9619656634897780 40.7609418526768508, -73.9621173274468759 40.7610327565544139, -73.9622593509624551 40.7611380883723200, -73.9623903662724018 40.7612568337275931, -73.9625091116276820 40.7613878490375470, -73.9626144434455881 40.7615298725531190, -73.9627053473231513 40.7616815365102241, -73.9627809478063227 40.7618413803020445, -73.9628405168211458 40.7620078645454882, -73.9628834806854059 40.7621793859062791, -73.9629094256336401 40.7623542925399462, -73.9629181018018045 40.7625309000000016, -73.9629094256336401 40.7627075074600569, -73.9628834806854059 40.7628824140937240, -73.9628405168211458 40.7630539354545149, -73.9627809478063227 40.7632204196979586, -73.9627053473231513 40.7633802634897791, -73.9626144434455881 40.7635319274468841, -73.9625091116276820 40.7636739509624562, -73.9623903662724018 40.7638049662724100, -73.9622593509624551 40.7639237116276831, -73.9621173274468759 40.7640290434455892, -73.9619656634897780 40.7641199473231524, -73.9618058196979575 40.7641955478063309, -73.9616393354545067 40.7642551168211398, -73.9614678140937230 40.7642980806854140, -73.9612929074600487 40.7643240256336483, -73.9611163000000005 40.7643327018018056, -73.9609396925399523 40.7643240256336483, -73.9607647859062780 40.7642980806854140, -73.9605932645454942 40.7642551168211398, -73.9604267803020434 40.7641955478063309, -73.9602669365102230 40.7641199473231524, -73.9601152725531250 40.7640290434455892, -73.9599732490375459 40.7639237116276831, -73.9598422337275991 40.7638049662724100, -73.9597234883723189 40.7636739509624562, -73.9596181565544128 40.7635319274468841, -73.9595272526768497 40.7633802634897791, -73.9594516521936782 40.7632204196979586, -73.9593920831788552 40.7630539354545149, -73.9593491193145951 40.7628824140937240, -73.9593231743663608 40.7627075074600569, -73.9593144981981965 40.7625309000000016))"
Bennett Park,"POLYGON ((-73.9386319999999984 40.8523964000000035, -73.9379131000000029 40.8522443000000024, -73.9375940000000043 40.8533033000000003, -73.9382966999999951 40.8534351999999998, -73.9383181000000036 40.8533722999999966, -73.9385173999999950 40.8527302000000034, -73.9386319999999984 40.8523964000000035))"
GREAT JONES STREET,"POLYGON ((-73.9921442981981983 40.7274491000000012, -73.9921529743663626 40.7272724925399459, -73.9921789193145969 40.7270975859062787, -73.9922218831788570 40.7269260645454878, -73.9922814521936800 40.7267595803020441, -73.9923570526768515 40.7265997365102237, -73.9924479565544146 40.7264480725531186, -73.9925532883723207 40.7263060490375466, -73.9926720337276009 40.7261750337275927, -73.9928030490375477 40.7260562883723196, -73.9929450725531268 40.7259509565544136, -73.9930967365102248 40.7258600526768504, -73.9932565803020452 40.7257844521936718, -73.9934230645454960 40.7257248831788630, -73.9935945859062798 40.7256819193145887, -73.9937694925399541 40.7256559743663544, -73.9939461000000023 40.7256472981981972, -73.9941227074600505 40.7256559743663544, -73.9942976140937247 40.7256819193145887, -73.9944691354545085 40.7257248831788630, -73.9946356196979593 40.7257844521936718, -73.9947954634897798 40.7258600526768504, -73.9949471274468777 40.7259509565544136, -73.9950891509624569 40.7260562883723196, -73.9952201662724036 40.7261750337275927, -73.9953389116276838 40.7263060490375466, -73.9954442434455899 40.7264480725531186, -73.9955351473231531 40.7265997365102237, -73.9956107478063245 40.7267595803020441, -73.9956703168211476 40.7269260645454878, -73.9957132806854077 40.7270975859062787, -73.9957392256336419 40.7272724925399459, -73.9957479018018063 40.7274491000000012, -73.9957392256336419 40.7276257074600565, -73.9957132806854077 40.7278006140937237, -73.9956703168211476 40.7279721354545146, -73.9956107478063245 40.7281386196979582, -73.9955351473231531 40.7282984634897787, -73.9954442434455899 40.7284501274468838, -73.9953389116276838 40.7285921509624558, -73.9952201662724036 40.7287231662724096, -73.9950891509624569 40.7288419116276827, -73.9949471274468777 40.7289472434455888, -73.9947954634897798 40.7290381473231520, -73.9946356196979593 40.7291137478063305, -73.9944691354545085 40.7291733168211394, -73.9942976140937247 40.7292162806854137, -73.9941227074600505 40.7292422256336479, -73.9939461000000023 40.7292509018018052, -73.9937694925399541 40.7292422256336479, -73.9935945859062798 40.7292162806854137, -73.9934230645454960 40.7291733168211394, -73.9932565803020452 40.7291137478063305, -73.9930967365102248 40.7290381473231520, -73.9929450725531268 40.7289472434455888, -73.9928030490375477 40.7288419116276827, -73.9926720337276009 40.7287231662724096, -73.9925532883723207 40.7285921509624558, -73.9924479565544146 40.7284501274468838, -73.9923570526768515 40.7282984634897787, -73.9922814521936800 40.7281386196979582, -73.9922218831788570 40.7279721354545146, -73.9921789193145969 40.7278006140937237, -73.9921529743663626 40.7276257074600565, -73.9921442981981983 40.7274491000000012))"
WEST   38 STREET,"POLYGON ((-73.9940301981981889 40.7564682000000005, -73.9940388743663533 40.7562915925399452, -73.9940648193145876 40.7561166859062780, -73.9941077831788476 40.7559451645454871, -73.9941673521936707 40.7557786803020434, -73.9942429526768422 40.7556188365102230, -73.9943338565544053 40.7554671725531179, -73.9944391883723114 40.7553251490375459, -73.9945579337275916 40.7551941337275920, -73.9946889490375384 40.7550753883723189, -73.9948309725531175 40.7549700565544128, -73.9949826365102155 40.7548791526768497, -73.9951424803020359 40.7548035521936711, -73.9953089645454867 40.7547439831788623, -73.9954804859062705 40.7547010193145880, -73.9956553925399447 40.7546750743663537, -73.9958319999999929 40.7546663981981965, -73.9960086074600412 40.7546750743663537, -73.9961835140937154 40.7547010193145880, -73.9963550354544992 40.7547439831788623, -73.9965215196979500 40.7548035521936711, -73.9966813634897704 40.7548791526768497, -73.9968330274468684 40.7549700565544128, -73.9969750509624475 40.7550753883723189, -73.9971060662723943 40.7551941337275920, -73.9972248116276745 40.7553251490375459, -73.9973301434455806 40.7554671725531179, -73.9974210473231437 40.7556188365102230, -73.9974966478063152 40.7557786803020434, -73.9975562168211383 40.7559451645454871, -73.9975991806853983 40.7561166859062780, -73.9976251256336326 40.7562915925399452, -73.9976338018017969 40.7564682000000005, -73.9976251256336326 40.7566448074600558, -73.9975991806853983 40.7568197140937230, -73.9975562168211383 40.7569912354545139, -73.9974966478063152 40.7571577196979575, -73.9974210473231437 40.7573175634897780, -73.9973301434455806 40.7574692274468831, -73.9972248116276745 40.7576112509624551, -73.9971060662723943 40.7577422662724089, -73.9969750509624475 40.7578610116276820, -73.9968330274468684 40.7579663434455881, -73.9966813634897704 40.7580572473231513, -73.9965215196979500 40.7581328478063298, -73.9963550354544992 40.7581924168211387, -73.9961835140937154 40.7582353806854130, -73.9960086074600412 40.7582613256336472, -73.9958319999999929 40.7582700018018045, -73.9956553925399447 40.7582613256336472, -73.9954804859062705 40.7582353806854130, -73.9953089645454867 40.7581924168211387, -73.9951424803020359 40.7581328478063298, -73.9949826365102155 40.7580572473231513, -73.9948309725531175 40.7579663434455881, -73.9946889490375384 40.7578610116276820, -73.9945579337275916 40.7577422662724089, -73.9944391883723114 40.7576112509624551, -73.9943338565544053 40.7574692274468831, -73.9942429526768422 40.7573175634897780, -73.9941673521936707 40.7571577196979575, -73.9941077831788476 40.7569912354545139, -73.9940648193145876 40.7568197140937230, -73.9940388743663533 40.7566448074600558, -73.9940301981981889 40.7564682000000005))"
"BROADWAY between WEST   34 STREET and WEST   35 STREET,  BROADWAY between WEST   34 STREET and WEST   40 STREET,  WEST   40 STREET between BROADWAY and 6 AVENUE, Bryant Park","POLYGON ((-73.9841527981981955 40.7526229999999998, -73.9841614743663598 40.7524463925399445, -73.9841874193145941 40.7522714859062773, -73.9842303831788541 40.7520999645454864, -73.9842899521936772 40.7519334803020428, -73.9843655526768487 40.7517736365102223, -73.9844564565544118 40.7516219725531172, -73.9845617883723179 40.7514799490375452, -73.9846805337275981 40.7513489337275914, -73.9848115490375449 40.7512301883723183, -73.9849535725531240 40.7511248565544122, -73.9851052365102220 40.7510339526768490, -73.9852650803020424 40.7509583521936705, -73.9854315645454932 40.7508987831788616, -73.9856030859062770 40.7508558193145873, -73.9857779925399512 40.7508298743663531, -73.9859545999999995 40.7508211981981958, -73.9861312074600477 40.7508298743663531, -73.9863061140937219 40.7508558193145873, -73.9864776354545057 40.7508987831788616, -73.9866441196979565 40.7509583521936705, -73.9868039634897769 40.7510339526768490, -73.9869556274468749 40.7511248565544122, -73.9870976509624541 40.7512301883723183, -73.9872286662724008 40.7513489337275914, -73.9873474116276810 40.7514799490375452, -73.9874527434455871 40.7516219725531172, -73.9875436473231503 40.7517736365102223, -73.9876192478063217 40.7519334803020428, -73.9876788168211448 40.7520999645454864, -73.9877217806854048 40.7522714859062773, -73.9877477256336391 40.7524463925399445, -73.9877564018018035 40.7526229999999998, -73.9877477256336391 40.7527996074600551, -73.9877217806854048 40.7529745140937223, -73.9876788168211448 40.7531460354545132, -73.9876192478063217 40.7533125196979569, -73.9875436473231503 40.7534723634897773, -73.9874527434455871 40.7536240274468824, -73.9873474116276810 40.7537660509624544, -73.9872286662724008 40.7538970662724083, -73.9870976509624541 40.7540158116276814, -73.9869556274468749 40.7541211434455874, -73.9868039634897769 40.7542120473231506, -73.9866441196979565 40.7542876478063292, -73.9864776354545057 40.7543472168211380, -73.9863061140937219 40.7543901806854123, -73.9861312074600477 40.7544161256336466, -73.9859545999999995 40.7544248018018038, -73.9857779925399512 40.7544161256336466, -73.9856030859062770 40.7543901806854123, -73.9854315645454932 40.7543472168211380, -73.9852650803020424 40.7542876478063292, -73.9851052365102220 40.7542120473231506, -73.9849535725531240 40.7541211434455874, -73.9848115490375449 40.7540158116276814, -73.9846805337275981 40.7538970662724083, -73.9845617883723179 40.7537660509624544, -73.9844564565544118 40.7536240274468824, -73.9843655526768487 40.7534723634897773, -73.9842899521936772 40.7533125196979569, -73.9842303831788541 40.7531460354545132, -73.9841874193145941 40.7529745140937223, -73.9841614743663598 40.7527996074600551, -73.9841527981981955 40.7526229999999998))"
